#    time          strength            derivative     
   11.947657     0.0000000000e+00     0.0000000000e+00
   11.988998     0.0000000000e+00     0.0000000000e+00
   12.030340     0.0000000000e+00     0.0000000000e+00
   12.071681     0.0000000000e+00     0.0000000000e+00
   12.113022     0.0000000000e+00     0.0000000000e+00
   12.154364     0.0000000000e+00     0.0000000000e+00
   12.195705     0.0000000000e+00     0.0000000000e+00
   12.237047     0.0000000000e+00     0.0000000000e+00
   12.278388     0.0000000000e+00     0.0000000000e+00
   12.319729     0.0000000000e+00     0.0000000000e+00
   12.361071     0.0000000000e+00     0.0000000000e+00
   12.402412     0.0000000000e+00     0.0000000000e+00
   12.443753     0.0000000000e+00     0.0000000000e+00
   12.485095     0.0000000000e+00     0.0000000000e+00
   12.526436     0.0000000000e+00     0.0000000000e+00
   12.567777     0.0000000000e+00     0.0000000000e+00
   12.609119     0.0000000000e+00     0.0000000000e+00
   12.650460     0.0000000000e+00     0.0000000000e+00
   12.691802     0.0000000000e+00     0.0000000000e+00
   12.733143     0.0000000000e+00     0.0000000000e+00
   12.774484     0.0000000000e+00     0.0000000000e+00
   12.815826     0.0000000000e+00     0.0000000000e+00
   12.857167     0.0000000000e+00     0.0000000000e+00
   12.898508     0.0000000000e+00     0.0000000000e+00
   12.939850     0.0000000000e+00     0.0000000000e+00
   12.981191     0.0000000000e+00     0.0000000000e+00
   13.022533     0.0000000000e+00     0.0000000000e+00
   13.063874     0.0000000000e+00     0.0000000000e+00
   13.105215     0.0000000000e+00     0.0000000000e+00
   13.146557     0.0000000000e+00     0.0000000000e+00
   13.187898     0.0000000000e+00     0.0000000000e+00
   13.229239     0.0000000000e+00     0.0000000000e+00
   13.270581     0.0000000000e+00     0.0000000000e+00
   13.311922     0.0000000000e+00     0.0000000000e+00
   13.353264     0.0000000000e+00     0.0000000000e+00
   13.394605     0.0000000000e+00     0.0000000000e+00
   13.435946     0.0000000000e+00     0.0000000000e+00
   13.477288     0.0000000000e+00     0.0000000000e+00
   13.518629     0.0000000000e+00     0.0000000000e+00
   13.559970     0.0000000000e+00     0.0000000000e+00
   13.601312     0.0000000000e+00     0.0000000000e+00
   13.642653     0.0000000000e+00     0.0000000000e+00
   13.683995     0.0000000000e+00     0.0000000000e+00
   13.725336     0.0000000000e+00     0.0000000000e+00
   13.766677     0.0000000000e+00     0.0000000000e+00
   13.808019     0.0000000000e+00     0.0000000000e+00
   13.849360     0.0000000000e+00     0.0000000000e+00
   13.890701     0.0000000000e+00     0.0000000000e+00
   13.932043     0.0000000000e+00     0.0000000000e+00
   13.973384     0.0000000000e+00     0.0000000000e+00
   14.014726     0.0000000000e+00     0.0000000000e+00
   14.056067     0.0000000000e+00     0.0000000000e+00
   14.097408     0.0000000000e+00     0.0000000000e+00
   14.138750     0.0000000000e+00     0.0000000000e+00
   14.180091     0.0000000000e+00     0.0000000000e+00
   14.221432     0.0000000000e+00     0.0000000000e+00
   14.262774     0.0000000000e+00     0.0000000000e+00
   14.304115     0.0000000000e+00     0.0000000000e+00
   14.345457     0.0000000000e+00     0.0000000000e+00
   14.386798     0.0000000000e+00     0.0000000000e+00
   14.428139     0.0000000000e+00     0.0000000000e+00
   14.469481     0.0000000000e+00     0.0000000000e+00
   14.510822     0.0000000000e+00     0.0000000000e+00
   14.552163     0.0000000000e+00     0.0000000000e+00
   14.593505     0.0000000000e+00     0.0000000000e+00
   14.634846     0.0000000000e+00     0.0000000000e+00
   14.676188     0.0000000000e+00     0.0000000000e+00
   14.717529     0.0000000000e+00     0.0000000000e+00
   14.758870     0.0000000000e+00     0.0000000000e+00
   14.800212     0.0000000000e+00     0.0000000000e+00
   14.841553     0.0000000000e+00     0.0000000000e+00
   14.882894     0.0000000000e+00     0.0000000000e+00
   14.924236     0.0000000000e+00     0.0000000000e+00
   14.965577     0.0000000000e+00     0.0000000000e+00
   15.006919     0.0000000000e+00     0.0000000000e+00
   15.048260     0.0000000000e+00     0.0000000000e+00
   15.089601     0.0000000000e+00     0.0000000000e+00
   15.130943     0.0000000000e+00     0.0000000000e+00
   15.172284     0.0000000000e+00     0.0000000000e+00
   15.213625     0.0000000000e+00     0.0000000000e+00
   15.254967     0.0000000000e+00     0.0000000000e+00
   15.296308     0.0000000000e+00     0.0000000000e+00
   15.337650     0.0000000000e+00     0.0000000000e+00
   15.378991     0.0000000000e+00     0.0000000000e+00
   15.420332     0.0000000000e+00     0.0000000000e+00
   15.461674     0.0000000000e+00     0.0000000000e+00
   15.503015     0.0000000000e+00     0.0000000000e+00
   15.544356     0.0000000000e+00     0.0000000000e+00
   15.585698     0.0000000000e+00     0.0000000000e+00
   15.627039     0.0000000000e+00     0.0000000000e+00
   15.668380     0.0000000000e+00     0.0000000000e+00
   15.709722     0.0000000000e+00     0.0000000000e+00
   15.751063     0.0000000000e+00     0.0000000000e+00
   15.792405     0.0000000000e+00     0.0000000000e+00
   15.833746     0.0000000000e+00     0.0000000000e+00
   15.875087     0.0000000000e+00     0.0000000000e+00
   15.916429     0.0000000000e+00     0.0000000000e+00
   15.957770     0.0000000000e+00     0.0000000000e+00
   15.999111     0.0000000000e+00     0.0000000000e+00
   16.040453     0.0000000000e+00     0.0000000000e+00
   16.081794     0.0000000000e+00     0.0000000000e+00
   16.123136     0.0000000000e+00     0.0000000000e+00
   16.164477     0.0000000000e+00     0.0000000000e+00
