# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
         84.74981536      -1.72496497e-15     2.080768454780e-14     2.080768454780e-14    -4.871844141868e-06
         85.16322909       1.14211124e-16    -3.023338780449e-15     2.845495322776e-15     2.256243667437e-06
         85.57664282       2.55978133e-15    -2.863279668543e-14    -3.183397892355e-14     9.171388599934e-06
         85.99005656      -3.18011292e-16     8.892172883674e-16     3.556869153470e-15     1.582588334158e-05
         86.40347029       1.09007382e-15    -1.493885044457e-14    -6.402364476246e-15     2.220466252872e-05
         86.81688402       1.01599605e-15    -1.440532007155e-14    -1.333825932551e-14     2.832007314605e-05
         87.23029776      -6.51557265e-17     1.778434576735e-16     1.778434576735e-16     3.422171051242e-05
         87.64371149      -3.90200722e-17    -5.335303730205e-16     1.956278034408e-15     4.000219969966e-05
         88.05712522      -3.98702239e-16     8.892172883674e-16     5.868834103225e-15     4.577511081968e-05
         88.47053896      -3.28253189e-16    -2.489808407429e-15     7.113738306940e-16     5.162847692879e-05
         88.88395269       1.01362035e-15    -1.458316352923e-14    -1.049276400274e-14     5.758770705070e-05
         89.29736642      -2.72328592e-16     1.422747661388e-15     3.379025695796e-15     6.361973502774e-05
         89.71078016       2.10488620e-15    -3.076691817751e-14    -3.272319621192e-14     6.967426957866e-05
         90.12419389       1.29261935e-15    -1.458316352923e-14    -1.120413783343e-14     7.572407238188e-05
         90.53760762      -1.70161555e-15     1.369394624086e-14     7.825112137633e-15     8.177018303282e-05
         90.95102136      -2.14967781e-15     1.885140651339e-14     2.116337146315e-14     8.781615282120e-05
         91.36443509      -8.24586006e-16     6.935894849266e-15     9.070016341348e-15     9.384700091083e-05
         91.77784882       6.69365415e-16    -9.603546714368e-15    -1.280472895249e-14     9.983985857906e-05
         92.19126256       1.28760278e-15    -1.280472895249e-14    -1.067060746041e-14     1.057942204631e-04
         92.60467629      -1.59214147e-15     1.138198129110e-14     1.653944156363e-14     1.117440322602e-04
         93.01809002       2.74580600e-16    -6.402364476246e-15    -4.979616814858e-15     1.177309383614e-04
         93.43150376      -4.81856874e-16     7.291581764613e-15     4.623929899511e-15     1.237600918780e-04
         93.84491749       1.41597045e-15    -1.867356305572e-14    -1.333825932551e-14     1.297807773047e-04
         94.25833122       4.56503196e-16    -1.049276400274e-14     5.335303730205e-16     1.357099162564e-04
         94.67174496      -1.15173388e-15     3.912556068817e-15     7.113738306940e-15     1.414729366459e-04
         95.08515869       1.06679776e-16    -5.335303730205e-16     1.778434576735e-15     1.470211311946e-04
         95.49857243       7.80037555e-16    -1.653944156363e-14    -1.920709342874e-14     1.523145473154e-04
         95.91198616      -1.72353672e-15     1.404963315621e-14     1.387178969853e-14     1.573013430456e-04
         96.32539989      -1.17433036e-15     1.102629437576e-14     1.333825932551e-14     1.619307607988e-04
         96.73881363      -2.20257792e-15     1.760650230968e-14     1.742865885200e-14     1.661984493095e-04
         97.15222736       9.47000195e-16    -1.031492054506e-14    -4.446086441837e-15     1.701809657013e-04
         97.56564109       3.17678462e-16    -2.845495322776e-15    -5.513147187878e-15     1.740181582525e-04
         97.97905483      -2.50569704e-16    -1.956278034408e-15    -7.113738306940e-16     1.778489037922e-04
         98.39246856      -2.41617135e-15     2.223043220919e-14     1.831787614037e-14     1.817496201299e-04
         98.80588229      -7.60003272e-16     2.845495322776e-15    -5.868834103225e-15     1.857202629750e-04
         99.21929603       1.08697790e-15    -1.191551166412e-14    -1.120413783343e-14     1.897148583917e-04
         99.63270976      -5.44673050e-16     3.556869153470e-15    -3.201182238123e-15     1.936742064674e-04
        100.04612349       1.47190706e-15    -1.760650230968e-14    -2.169690183617e-14     1.975282565379e-04
        100.45953723      -1.07610336e-15     3.379025695796e-15    -8.892172883674e-16     2.011809877395e-04
        100.87295096       1.19408207e-16    -6.046677560899e-15    -8.358642510654e-15     2.045183636888e-04
        101.28636469      -1.24736573e-16     1.422747661388e-15     1.244904203714e-15     2.074568362257e-04
        101.69977843      -1.07617536e-15     4.446086441837e-15     8.892172883674e-16     2.100002226706e-04
        102.11319216       1.69080161e-15    -2.098552800547e-14    -2.632083173568e-14     2.122525306598e-04
        102.52660589       4.64018674e-16    -1.191551166412e-14    -9.425703256695e-15     2.143692554587e-04
        102.94001963       8.43971985e-16    -6.224521018572e-15    -8.536485968327e-15     2.164856049685e-04
        103.35343336       8.55327030e-16    -1.209335512180e-14    -1.618375464829e-14     2.186785315519e-04
        103.76684709       1.12248280e-15    -1.333825932551e-14    -1.902924997106e-14     2.209809333742e-04
